,model,wbit,wikitext2,ptb-new,c4-new,piqa,hellaswag,winogrande,arc_easy,arc_challenge
0,opt-125m,4,29.107912063598633,40.79707336425781,27.78184700012207,0.6289445048966268,0.2901812387970524,0.5019731649565904,0.4318181818181818,0.1945392491467577
0,opt-125m,3,35.68466567993164,53.75837707519531,32.58985900878906,0.6186071817192601,0.28828918542123083,0.5090765588003157,0.41119528619528617,0.19880546075085323
0,opt-125m,2,215.81336975097656,264.22344970703125,147.711669921875,0.5663764961915125,0.2726548496315475,0.5169692186266772,0.3274410774410774,0.18515358361774745
0,opt-350m,4,,,,,,,,
0,opt-350m,3,,,,,,,,
0,opt-350m,2,,,,,,,,
0,opt-1.3b,4,14.948394775390625,20.770536422729492,16.44363021850586,0.7083786724700761,0.40908185620394344,0.5982636148382005,0.5673400673400674,0.2363481228668942
0,opt-1.3b,3,16.299837112426758,23.741405487060547,17.775056838989258,0.7034820457018498,0.39852619000199163,0.5737963693764798,0.5589225589225589,0.2226962457337884
0,opt-1.3b,2,53.79219436645508,88.83537292480469,47.83272933959961,0.6316648531011969,0.31905994821748657,0.5232833464877664,0.414983164983165,0.20648464163822525
0,opt-2.7b,4,12.70291805267334,18.384859085083008,14.581732749938965,0.7399347116430903,0.4561840270862378,0.6195737963693765,0.6035353535353535,0.26791808873720135
0,opt-2.7b,3,13.569903373718262,20.19685173034668,15.530908584594727,0.7290533188248096,0.4457279426409082,0.6077348066298343,0.5723905723905723,0.26621160409556316
0,opt-2.7b,2,29.67580223083496,46.236820220947266,31.653514862060547,0.6637649619151251,0.3604859589723163,0.5651144435674822,0.4797979797979798,0.22184300341296928
0,opt-6.7b,4,10.958316802978516,15.963751792907715,12.837493896484375,0.764417845484222,0.5014937263493328,0.6527229676400947,0.6502525252525253,0.3046075085324232
0,opt-6.7b,3,11.365398406982422,16.845678329467773,13.370591163635254,0.7595212187159956,0.4869547898824935,0.6424625098658248,0.6380471380471381,0.295221843003413
0,opt-6.7b,2,16.856359481811523,25.259998321533203,19.030282974243164,0.704570184983678,0.41884086835291773,0.585635359116022,0.5585016835016835,0.24658703071672355
0,opt-13b,4,10.288285255432129,14.697335243225098,12.148500442504883,0.7606093579978237,0.5183230432184823,0.6369376479873717,0.6742424242424242,0.3319112627986348
0,opt-13b,3,10.539687156677246,15.261865615844727,12.582281112670898,0.7535364526659413,0.5021907986456882,0.6369376479873717,0.6641414141414141,0.3191126279863481
0,opt-13b,2,14.929634094238281,22.135862350463867,16.742992401123047,0.7067464635473341,0.4175463055168293,0.6156274664561957,0.5686026936026936,0.2636518771331058
0,opt-30b,4,,,,,,,,
0,opt-30b,3,,,,,,,,
0,opt-30b,2,,,,,,,,
0,llama-2-7b,4,,,,,,,,
0,llama-2-7b,3,,,,,,,,
0,llama-2-7b,2,,,,,,,,
0,llama-2-13b,4,,,,,,,,
0,llama-2-13b,3,,,,,,,,
0,llama-2-13b,2,,,,,,,,
