,model,wbit,wikitext2,ptb-new,c4-new,piqa,hellaswag,winogrande,arc_easy,arc_challenge
0,opt-125m,3,36.774295806884766,52.94692611694336,32.849098205566406,0.6164309031556039,0.28599880501892055,0.500394632991318,0.41245791245791247,0.19283276450511946
0,opt-125m,2,251.7909698486328,339.55169677734375,184.09962463378906,0.5658324265505985,0.26926906990639315,0.5130228887134964,0.32407407407407407,0.197098976109215
0,opt-1.3b,3,16.32236671447754,23.859106063842773,17.804035186767578,0.6985854189336235,0.3999203345947023,0.5706393054459353,0.5669191919191919,0.24061433447098976
0,opt-1.3b,2,47.64129638671875,84.71097564697266,43.38157272338867,0.6338411316648531,0.3210515833499303,0.531965272296764,0.4313973063973064,0.21075085324232082
0,opt-2.7b,3,13.568483352661133,19.837514877319336,15.508174896240234,0.7274211099020674,0.4447321250746863,0.590370955011839,0.5909090909090909,0.2713310580204778
0,opt-2.7b,2,28.556467056274414,45.890350341796875,29.184734344482422,0.6681175190424374,0.36078470424218284,0.5453827940015785,0.4962121212121212,0.2235494880546075
0,opt-6.7b,4,10.92184066772461,15.98366641998291,12.8394775390625,0.7671381936887922,0.5016928898625772,0.6377269139700079,0.6506734006734006,0.30887372013651876
0,opt-6.7b,3,11.408686637878418,16.846376419067383,13.33277416229248,0.7551686615886833,0.49372634933280224,0.6432517758484609,0.6519360269360269,0.30119453924914674
0,opt-6.7b,2,16.226781845092773,24.519479751586914,18.053390502929688,0.7105549510337323,0.4303923521210914,0.6022099447513812,0.5778619528619529,0.25341296928327645
0,opt-13b,4,10.217124938964844,14.702834129333496,12.153645515441895,0.7589771490750816,0.5202150965943039,0.6527229676400947,0.6687710437710438,0.33276450511945393
0,opt-13b,3,10.664074897766113,15.28344440460205,12.55272388458252,0.7573449401523396,0.5066719776936865,0.6479873717442778,0.6704545454545454,0.3216723549488055
0,opt-13b,2,14.315091133117676,21.62668228149414,16.13201332092285,0.7165397170837867,0.43178649671380204,0.5974743488555643,0.57996632996633,0.2773037542662116
0,llama-2-7b,4,5.615975379943848,34.47344970703125,7.443395137786865,0.779651795429815,0.5667197769368651,0.681136543014996,0.7558922558922558,0.4283276450511945
0,llama-2-7b,3,6.238702774047852,47.567726135253906,8.331725120544434,0.7589771490750816,0.548994224258116,0.6929755327545383,0.7348484848484849,0.4129692832764505
0,llama-2-7b,2,222658.3125,203344.375,168907.984375,0.5239390642002176,0.25712009559848636,0.489344909234412,0.24494949494949494,0.21416382252559726
0,llama-2-13b,4,4.972581386566162,52.113582611083984,6.839833736419678,0.7872687704026116,0.6009759012148974,0.7261247040252565,0.7895622895622896,0.4726962457337884
0,llama-2-13b,3,5.320446968078613,61.75636672973633,7.290014266967773,,,,,
0,llama-2-13b,2,122098.640625,121623.3203125,95061.5859375,,,,,
